playerName,team_name,fpl_minutes,fpl_goals,fpl_assits,fpl_cs,fpl_points,fpl_bonus,fpl_cprice
Aaron Ramsey,Arsenal,1844,7,10,9,130,12,6.8
Ainsley Maitland-Niles,Arsenal,908,0,0,3,25,0,4.5
Alex Iwobi,Arsenal,1827,3,5,9,89,2,5.1
Alexandre Lacazette,Arsenal,2197,14,5,10,138,11,10.3
Calum Chambers,Arsenal,864,0,0,2,23,0,4.7
Danny Welbeck,Arsenal,1178,5,2,4,70,6,7.3
David Ospina,Arsenal,380,0,0,2,19,1,4.8
Eddie Nketiah,Arsenal,17,0,0,0,3,0,5.0
Francis Coquelin,Arsenal,164,0,0,0,7,0,4.3
Granit Xhaka,Arsenal,3259,1,8,12,109,3,5.1
Héctor Bellerín,Arsenal,3050,2,4,12,132,11,5.9
Jack Wilshere,Arsenal,1185,1,3,4,46,2,5.0
Joe Willock,Arsenal,81,0,0,0,3,0,4.5
Jordi Osei-Tutu,Arsenal,0,0,0,0,0,0,4.0
Konstantinos Mavropanos,Arsenal,194,0,0,1,4,0,4.2
Laurent Koscielny,Arsenal,2225,2,0,9,100,16,6.0
Mathieu Debuchy,Arsenal,0,0,0,0,0,0,4.5
Matt Macey,Arsenal,0,0,0,0,0,0,5.0
Mesut Özil,Arsenal,2161,4,9,8,112,11,9.3
Mohamed Elneny,Arsenal,865,0,1,3,22,0,4.2
Nacho Monreal,Arsenal,2241,5,2,10,130,15,5.7
Per Mertesacker,Arsenal,364,1,0,0,16,2,4.7
Petr Cech,Arsenal,3039,0,0,11,124,7,5.3
Pierre-Emerick Aubameyang,Arsenal,1056,10,4,4,87,12,10.8
Reiss Nelson,Arsenal,144,0,0,0,5,0,4.7
Rob Holding,Arsenal,819,0,1,3,27,1,4.4
Sead Kolasinac,Arsenal,2146,2,4,10,108,6,5.8
Shkodran Mustafi,Arsenal,2272,3,1,10,109,13,5.4
Theo Walcott,"Arsenal,Everton",1214,3,3,4,62,3,6.6
Aaron Ramsdale,Bournemouth,0,0,0,0,0,0,4.0
Adam Smith,Bournemouth,2067,1,3,2,56,3,4.8
Andrew Surman,Bournemouth,1851,2,5,5,82,9,4.3
Artur Boruc,Bournemouth,0,0,0,0,0,0,4.1
Asmir Begovic,Bournemouth,3420,0,0,6,112,6,4.5
Benik Afobe,Bournemouth,534,0,1,0,24,0,5.7
Brad Smith,Bournemouth,0,0,0,0,0,0,3.9
Callum Wilson,Bournemouth,1981,8,2,6,102,13,5.6
Charlie Daniels,Bournemouth,3001,1,3,6,94,4,4.7
Connor Mahoney,Bournemouth,0,0,0,0,0,0,4.5
Dan Gosling,Bournemouth,1941,2,1,1,59,4,4.8
Emerson Hyndman,Bournemouth,58,0,0,0,1,0,4.5
Harry Arter,Bournemouth,959,1,0,3,27,0,4.7
Jack Simpson,Bournemouth,71,0,0,0,1,0,4.0
Jermain Defoe,Bournemouth,1075,4,2,2,60,5,7.6
Jordon Ibe,Bournemouth,1988,2,6,4,85,5,4.6
Joshua King,Bournemouth,2450,8,4,7,110,10,7.0
Junior Stanislas,Bournemouth,1285,5,3,2,75,7,5.7
Kyle Taylor,Bournemouth,0,0,0,0,0,0,4.5
Lewis Cook,Bournemouth,2234,0,2,3,58,0,4.3
Lys Mousset,Bournemouth,581,2,0,1,36,3,4.9
Marc Pugh,Bournemouth,974,0,0,5,32,0,4.7
Matt Butcher,Bournemouth,0,0,0,0,0,0,4.5
Nathan Aké,Bournemouth,3352,2,3,6,102,8,5.0
Ryan Fraser,Bournemouth,2003,5,3,2,97,13,5.1
Simon Francis,Bournemouth,2708,0,1,4,56,3,4.3
Steve Cook,Bournemouth,2764,2,1,5,83,9,4.6
Tyrone Mings,Bournemouth,201,0,0,0,3,0,4.2
Anthony Knockaert,Brighton,2415,3,1,11,88,6,5.5
Beram Kayal,Brighton,735,0,0,1,25,0,4.4
Bruno,Brighton,2014,0,0,10,84,8,4.5
Connor Goldson,Brighton,199,0,0,1,6,0,3.9
Dale Stephens,Brighton,3240,0,3,10,87,2,4.5
Davy Pröpper,Brighton,3118,0,4,9,87,1,5.3
Ezequiel Schelotto,Brighton,1313,0,0,0,20,0,4.4
Gaëtan Bong,Brighton,2237,0,0,6,63,5,4.4
Glenn Murray,Brighton,2184,12,0,8,111,16,5.9
Isaiah Brown,Brighton,302,0,0,0,16,0,5.2
Jürgen Locadia,Brighton,221,1,1,1,16,2,6.0
Jamie Murphy,Brighton,166,0,0,0,6,0,4.7
Jayson Molumby,Brighton,0,0,0,0,0,0,4.5
Jiri Skalak,Brighton,0,0,0,0,0,0,4.7
José Izquierdo,Brighton,1976,5,5,5,101,4,5.9
Lewis Dunk,Brighton,3420,1,1,10,97,7,4.5
Liam Rosenior,Brighton,163,0,0,0,3,0,3.9
Markus Suttner,Brighton,1178,0,0,4,38,3,4.2
Mat Ryan,Brighton,3420,0,0,10,146,13,4.6
Niki Mäenpää,Brighton,0,0,0,0,0,0,3.9
Pascal Groß,Brighton,2928,7,8,10,164,24,5.9
Sam Baldock,Brighton,30,0,0,0,2,0,4.9
Shane Duffy,Brighton,3292,0,2,10,100,7,4.6
Solly March,Brighton,1838,1,3,6,74,3,4.8
Steve Sidwell,Brighton,0,0,0,0,0,0,4.2
Tim Krul,Brighton,0,0,0,0,0,0,3.9
Tomer Hemed,Brighton,842,2,2,3,43,5,4.6
Uwe Hünemeier,Brighton,17,0,0,0,1,0,3.8
Leonardo Ulloa,"Brighton,Leicester",279,1,0,1,20,0,4.8
Adam Legzdins,Burnley,0,0,0,0,0,0,4.0
Aiden O'Neill,Burnley,0,0,0,0,0,0,4.5
Anders Lindegaard,Burnley,0,0,0,0,0,0,4.0
Ashley Barnes,Burnley,2150,9,0,5,92,9,5.3
Ashley Westwood,Burnley,1105,0,1,2,35,1,4.3
Ben Mee,Burnley,2610,0,0,9,90,6,4.9
Charlie Taylor,Burnley,949,0,0,2,23,0,4.2
