player,team,position,minutes,goals,assits,cs,points,bonus,price
Aarons,Newcastle United,Middlesbrough,136,0,0,0,5,0,4.3
Abraham,Swansea,FWD,1715,5,3,4,86,11,5.4
Adam,Stoke,Middlesbrough,405,0,0,2,10,0,4.7
Adam Smith,Bournemouth,DEF,2067,1,3,2,56,3,4.8
Adarabioyo,Manchester City,DEF,0,0,0,0,0,0,4.0
Adri�n,West Ham,GKP,1710,0,0,6,72,5,4.0
Afellay,Stoke,Middlesbrough,162,0,0,0,6,0,4.8
Afobe,Bournemouth,FWD,534,0,1,0,24,0,5.7
Ag�ero,Manchester City,FWD,1960,21,6,13,169,22,11.5
Ak�,Bournemouth,DEF,3352,2,3,6,102,8,5.0
Albrighton,Leicester,Middlesbrough,2533,2,8,8,107,12,5.5
Alderweireld,Tottenham,DEF,1177,0,0,5,43,3,5.8
Alexander-Arnold,Liverpool,DEF,1573,1,2,8,83,10,4.4
Allen,Stoke,Middlesbrough,3139,2,6,6,109,12,5.1
Alli,Tottenham,Middlesbrough,2957,9,13,16,175,12,9.0
Alonso,Chelsea,DEF,2855,7,2,13,165,15,7.1
Amartey,Leicester,Middlesbrough,486,0,0,3,13,0,4.3
Ampadu,Chelsea,Middlesbrough,10,0,0,0,1,0,4.5
Amrabat,Watford,Middlesbrough,198,0,0,1,6,0,5.0
Anderson,Crystal Palace,FWD,0,0,0,0,0,0,4.5
Andr� Ayew,Swansea,Middlesbrough,1834,3,5,3,77,2,6.8
Antonio,West Ham,Middlesbrough,1350,3,2,7,62,1,7.4
Arfield,Burnley,Middlesbrough,1330,2,2,6,56,6,4.9
Arnautovic,West Ham,Middlesbrough,2309,11,7,7,144,12,7.1
Arter,Bournemouth,Middlesbrough,959,1,0,3,27,0,4.7
Atsu,Newcastle United,Middlesbrough,1776,2,4,6,78,5,4.8
Aubameyang,Arsenal,FWD,1056,10,4,4,87,12,10.8
Aurier,Tottenham,DEF,1427,2,2,6,77,9,5.9
Austin,Southampton,FWD,1024,7,1,4,72,9,5.8
Azpilicueta,Chelsea,DEF,3330,2,6,15,175,25,6.9
Bachmann,Watford,GKP,0,0,0,0,0,0,4.0
Badou Ndiaye,Stoke,Middlesbrough,1138,2,1,2,41,5,5.0
Bailly,Manchester United,DEF,1000,1,0,7,55,3,6.0
Baines,Everton,DEF,1909,2,3,5,82,10,5.7
Bakayoko,Chelsea,Middlesbrough,2121,2,2,11,77,5,4.9
Baldock,Brighton,FWD,30,0,0,0,2,0,4.9
Baningime,Everton,Middlesbrough,192,0,0,0,7,0,4.5
Bardsley,Burnley,DEF,1125,0,0,4,33,0,4.0
Barkley,Chelsea,Middlesbrough,129,0,0,0,3,0,7.3
Barnes,Burnley,FWD,2150,9,0,5,92,9,5.3
Barnes,Leicester,Middlesbrough,8,0,0,0,3,0,4.5
Barrow,Swansea,Middlesbrough,0,0,0,0,0,0,5.0
Barry,West Bromwich Albion,Middlesbrough,1921,1,2,4,56,0,4.4
Bartley,Swansea,DEF,233,0,0,0,5,0,4.3
Batshuayi,Chelsea,FWD,351,2,1,1,25,3,8.1
Bauer,Stoke,DEF,1307,0,0,5,41,1,4.5
Bednarek,Southampton,DEF,427,1,0,2,22,0,4.1
Begovic,Bournemouth,GKP,3420,0,0,6,112,6,4.5
Behrami,Watford,Middlesbrough,0,0,0,0,0,0,4.5
Beller�n,Arsenal,DEF,3050,2,4,12,132,11,5.9
Benalouane,Leicester,DEF,90,0,0,0,1,0,4.2
Benteke,Crystal Palace,FWD,2234,3,7,6,84,5,7.5
Berahino,Stoke,FWD,483,0,1,2,20,0,5.5
Berghuis,Watford,Middlesbrough,0,0,0,0,0,0,5.0
Bernardo Silva,Manchester City,Middlesbrough,1514,6,5,9,112,8,7.2
Bertrand,Southampton,DEF,3135,0,5,8,103,4,5.3
Besic,Everton,Middlesbrough,46,0,0,0,2,0,4.2
Billing,Huddersfield,Middlesbrough,755,0,0,3,22,0,4.4
Blind,Manchester United,DEF,360,0,0,4,28,1,5.1
Boga,Chelsea,Middlesbrough,17,0,0,0,1,0,6.0
Bojan,Stoke,Middlesbrough,71,0,0,0,2,0,5.5
Bolasie,Everton,Middlesbrough,848,1,1,3,35,0,6.4
Bong,Brighton,DEF,2237,0,0,6,63,5,4.4
Bony,Swansea,FWD,701,2,1,2,33,3,5.6
Boruc,Bournemouth,GKP,0,0,0,0,0,0,4.1
Boufal,Southampton,Middlesbrough,1206,2,2,1,55,2,5.7
Brad Smith,Bournemouth,DEF,0,0,0,0,0,0,3.9
Brady,Burnley,Middlesbrough,1277,1,4,6,56,7,5.3
Bravo,Manchester City,GKP,224,0,0,1,10,1,4.5
Britos,Watford,DEF,795,1,0,2,22,0,4.3
Britton,Swansea,Middlesbrough,301,0,0,3,10,0,4.4
Brown,Brighton,Middlesbrough,302,0,0,0,16,0,5.2
Browne,West Ham,Middlesbrough,0,0,0,0,0,0,4.5
Bruno,Brighton,DEF,2014,0,0,10,84,8,4.5
Brunt,West Bromwich Albion,Middlesbrough,1917,0,8,9,81,6,5.0
Bunn,Huddersfield,Middlesbrough,0,0,0,0,0,0,4.5
Burke,West Bromwich Albion,Middlesbrough,356,0,2,0,23,0,4.9
Burke,West Ham,DEF,0,0,0,0,0,0,4.0
Butcher,Bournemouth,Middlesbrough,0,0,0,0,0,0,4.5
Butland,Stoke,GKP,3150,0,0,6,125,16,5.0
Byram,West Ham,DEF,246,0,0,0,5,0,4.2
Caballero,Chelsea,GKP,270,0,0,1,11,0,4.8
Cabaye,Crystal Palace,Middlesbrough,2374,0,4,8,73,3,5.3
Cahill,Chelsea,DEF,2082,0,0,9,74,2,6.2
Calvert-Lewin,Everton,FWD,1871,4,8,6,88,3,4.9
Camacho,Liverpool,Middlesbrough,0,0,0,0,0,0,4.5
Cameron,Stoke,DEF,1522,0,0,2,33,0,4.3
Campbell,Stoke,FWD,75,0,0,0,4,0,4.5
Can,Liverpool,Middlesbrough,2089,3,6,8,92,10,4.9
Capoue,Watford,Middlesbrough,1537,1,1,4,48,0,4.8
Carrick,Manchester United,Middlesbrough,108,0,0,1,4,0,4.2
