playerName,team_name,fpl_minutes,fpl_goals,fpl_assits,fpl_cs,fpl_points,fpl_bonus,fpl_cprice
Aaron Ramsey,Arsenal,1236,1,4,4,56,3,7.6
Ainsley Maitland-Niles,Arsenal,2,0,0,0,1,0,4.5
Alex Iwobi,Arsenal,1456,3,5,9,89,8,5.3
Alex Oxlade Chamberlain,Arsenal,1564,2,7,4,83,3,5.8
Alexis Sánchez,Arsenal,3217,24,11,13,264,32,11.7
Carl Jenkinson,Arsenal,82,0,0,0,2,0,4.8
Chuba Akpom,Arsenal,0,0,0,0,0,0,5.1
Danny Welbeck,Arsenal,748,2,2,3,37,0,7.3
David Ospina,Arsenal,143,0,0,0,2,0,4.7
Emiliano Martínez,Arsenal,180,0,0,1,8,0,3.9
Francis Coquelin,Arsenal,1779,0,1,5,52,1,4.2
Gabriel Paulista,Arsenal,1517,0,0,5,45,2,4.8
Granit Xhaka,Arsenal,2483,2,3,10,85,7,5.2
Héctor Bellerín,Arsenal,2503,1,5,10,119,12,6.5
Jeff Reine-Adelaide,Arsenal,0,0,0,0,0,0,4.5
Kieran Gibbs,Arsenal,702,0,1,6,45,3,4.7
Laurent Koscielny,Arsenal,2821,2,1,10,121,19,6.1
Lucas Pérez,Arsenal,272,1,1,1,20,0,7.8
Mathieu Debuchy,Arsenal,15,0,0,0,1,0,4.6
Matt Macey,Arsenal,0,0,0,0,0,0,4.0
Mesut Özil,Arsenal,2841,8,11,12,167,19,9.5
Mohamed El Neny,Arsenal,694,0,1,3,26,0,4.5
Nacho Monreal,Arsenal,3153,0,3,11,115,9,5.9
Olivier Giroud,Arsenal,1206,12,5,4,116,17,8.1
Per Mertesacker,Arsenal,38,0,0,0,1,0,4.8
Petr Cech,Arsenal,3097,0,0,12,134,2,5.4
Rob Holding,Arsenal,810,0,0,4,32,3,4.1
Santi Cazorla,Arsenal,618,2,2,4,38,5,7.0
Shkodran Mustafi,Arsenal,2274,2,2,8,90,8,5.8
Theo Walcott,Arsenal,1916,10,3,8,122,7,7.2
Jack Wilshere,"Arsenal,Bournemouth",1950,0,3,5,61,2,5.8
Calum Chambers,"Arsenal,Middlesbrough",2250,2,1,7,83,7,4.3
Aaron Ramsdale,Bournemouth,0,0,0,0,0,0,4.0
Adam Federici,Bournemouth,180,0,0,1,8,1,4.4
Adam Smith,Bournemouth,3101,1,5,8,104,12,4.6
Andrew Surman,Bournemouth,1800,0,1,4,44,0,4.6
Artur Boruc,Bournemouth,3150,0,0,9,120,7,4.5
Baily Cargill,Bournemouth,13,0,0,0,1,0,4.0
Benik Afobe,Bournemouth,1458,6,5,5,88,9,5.3
Brad Smith,Bournemouth,269,0,0,0,4,0,3.9
Callum Wilson,Bournemouth,1361,6,1,6,63,2,6.0
Charlie Daniels,Bournemouth,3060,4,3,10,134,14,5.2
Dan Gosling,Bournemouth,1366,2,0,4,49,2,4.7
Harry Arter,Bournemouth,2956,1,4,9,84,6,5.0
Jordon Ibe,Bournemouth,1055,0,0,3,36,0,4.9
Joshua King,Bournemouth,2714,16,3,9,178,17,6.2
Junior Stanislas,Bournemouth,1467,7,6,4,107,13,4.6
Lewis Cook,Bournemouth,432,0,2,1,17,1,4.2
Lewis Grabban,Bournemouth,60,0,1,0,6,0,4.3
Lys Mousset,Bournemouth,270,0,1,1,14,0,5.1
Marc Pugh,Bournemouth,1329,2,3,5,64,6,4.6
Matt Worthington,Bournemouth,17,0,0,0,1,0,4.5
Max Gradel,Bournemouth,134,0,0,0,8,0,5.0
Ryan Allsop,Bournemouth,90,0,0,0,3,0,4.0
Ryan Fraser,Bournemouth,1764,3,9,7,100,8,4.6
Sam Surridge,Bournemouth,0,0,0,0,0,0,4.5
Simon Francis,Bournemouth,2938,0,1,10,89,7,4.5
Steve Cook,Bournemouth,3420,2,0,10,112,17,4.8
Tyrone Mings,Bournemouth,506,0,0,0,4,2,4.5
Nathan Aké,"Bournemouth,Chelsea",834,3,1,3,55,8,3.9
Aiden O'Neill,Burnley,85,0,0,0,3,0,4.3
Andre Gray,Burnley,2260,9,3,8,108,10,6.0
Ashley Barnes,Burnley,1774,6,3,6,81,10,4.6
Ashley Westwood,Burnley,551,0,0,1,13,0,4.5
Ben Mee,Burnley,3015,1,2,9,94,6,4.4
Daniel Agyei,Burnley,25,0,0,0,3,0,4.5
David Jones,Burnley,86,0,0,0,1,0,5.0
