player,team,position,minutes,goals,assits,cs,points,bonus,price
Aarons,NEW,MID,136,0,0,0,5,0,4.3
Abraham,SWA,FWD,1715,5,3,4,86,11,5.4
Adam,STK,MID,405,0,0,2,10,0,4.7
Adam Smith,BOU,DEF,2067,1,3,2,56,3,4.8
Adarabioyo,MCI,DEF,0,0,0,0,0,0,4
Adri�n,WHU,GKP,1710,0,0,6,72,5,4
Afellay,STK,MID,162,0,0,0,6,0,4.8
Afobe,BOU,FWD,534,0,1,0,24,0,5.7
Ag�ero,MCI,FWD,1960,21,6,13,169,22,11.5
Ak�,BOU,DEF,3352,2,3,6,102,8,5
Albrighton,LEI,MID,2533,2,8,8,107,12,5.5
Alderweireld,TOT,DEF,1177,0,0,5,43,3,5.8
Alexander-Arnold,LIV,DEF,1573,1,2,8,83,10,4.4
Allen,STK,MID,3139,2,6,6,109,12,5.1
Alli,TOT,MID,2957,9,13,16,175,12,9
Alonso,CHE,DEF,2855,7,2,13,165,15,7.1
Amartey,LEI,MID,486,0,0,3,13,0,4.3
Ampadu,CHE,MID,10,0,0,0,1,0,4.5
Amrabat,WAT,MID,198,0,0,1,6,0,5
Anderson,CRY,FWD,0,0,0,0,0,0,4.5
Andr� Ayew,SWA,MID,1834,3,5,3,77,2,6.8
Antonio,WHU,MID,1350,3,2,7,62,1,7.4
Arfield,BUR,MID,1330,2,2,6,56,6,4.9
Arnautovic,WHU,MID,2309,11,7,7,144,12,7.1
Arter,BOU,MID,959,1,0,3,27,0,4.7
Atsu,NEW,MID,1776,2,4,6,78,5,4.8
Aubameyang,ARS,FWD,1056,10,4,4,87,12,10.8
Aurier,TOT,DEF,1427,2,2,6,77,9,5.9
Austin,SOU,FWD,1024,7,1,4,72,9,5.8
Azpilicueta,CHE,DEF,3330,2,6,15,175,25,6.9
Bachmann,WAT,GKP,0,0,0,0,0,0,4
Badou Ndiaye,STK,MID,1138,2,1,2,41,5,5
Bailly,MUN,DEF,1000,1,0,7,55,3,6
Baines,EVE,DEF,1909,2,3,5,82,10,5.7
Bakayoko,CHE,MID,2121,2,2,11,77,5,4.9
Baldock,BHA,FWD,30,0,0,0,2,0,4.9
Baningime,EVE,MID,192,0,0,0,7,0,4.5
Bardsley,BUR,DEF,1125,0,0,4,33,0,4
Barkley,CHE,MID,129,0,0,0,3,0,7.3
Barnes,BUR,FWD,2150,9,0,5,92,9,5.3
Barnes,LEI,MID,8,0,0,0,3,0,4.5
Barrow,SWA,MID,0,0,0,0,0,0,5
Barry,WBA,MID,1921,1,2,4,56,0,4.4
Bartley,SWA,DEF,233,0,0,0,5,0,4.3
Batshuayi,CHE,FWD,351,2,1,1,25,3,8.1
Bauer,STK,DEF,1307,0,0,5,41,1,4.5
Bednarek,SOU,DEF,427,1,0,2,22,0,4.1
Begovic,BOU,GKP,3420,0,0,6,112,6,4.5
Behrami,WAT,MID,0,0,0,0,0,0,4.5
Beller�n,ARS,DEF,3050,2,4,12,132,11,5.9
Benalouane,LEI,DEF,90,0,0,0,1,0,4.2
Benteke,CRY,FWD,2234,3,7,6,84,5,7.5
Berahino,STK,FWD,483,0,1,2,20,0,5.5
Berghuis,WAT,MID,0,0,0,0,0,0,5
Bernardo Silva,MCI,MID,1514,6,5,9,112,8,7.2
Bertrand,SOU,DEF,3135,0,5,8,103,4,5.3
Besic,EVE,MID,46,0,0,0,2,0,4.2
Billing,HUD,MID,755,0,0,3,22,0,4.4
Blind,MUN,DEF,360,0,0,4,28,1,5.1
Boga,CHE,MID,17,0,0,0,1,0,6
Bojan,STK,MID,71,0,0,0,2,0,5.5
Bolasie,EVE,MID,848,1,1,3,35,0,6.4
Bong,BHA,DEF,2237,0,0,6,63,5,4.4
Bony,SWA,FWD,701,2,1,2,33,3,5.6
Boruc,BOU,GKP,0,0,0,0,0,0,4.1
Boufal,SOU,MID,1206,2,2,1,55,2,5.7
Brad Smith,BOU,DEF,0,0,0,0,0,0,3.9
Brady,BUR,MID,1277,1,4,6,56,7,5.3
Bravo,MCI,GKP,224,0,0,1,10,1,4.5
Britos,WAT,DEF,795,1,0,2,22,0,4.3
Britton,SWA,MID,301,0,0,3,10,0,4.4
Brown,BHA,MID,302,0,0,0,16,0,5.2
Browne,WHU,MID,0,0,0,0,0,0,4.5
Bruno,BHA,DEF,2014,0,0,10,84,8,4.5
Brunt,WBA,MID,1917,0,8,9,81,6,5
Bunn,HUD,MID,0,0,0,0,0,0,4.5
Burke,WBA,MID,356,0,2,0,23,0,4.9
Burke,WHU,DEF,0,0,0,0,0,0,4
Butcher,BOU,MID,0,0,0,0,0,0,4.5
Butland,STK,GKP,3150,0,0,6,125,16,5
Byram,WHU,DEF,246,0,0,0,5,0,4.2
Caballero,CHE,GKP,270,0,0,1,11,0,4.8
Cabaye,CRY,MID,2374,0,4,8,73,3,5.3
Cahill,CHE,DEF,2082,0,0,9,74,2,6.2
Calvert-Lewin,EVE,FWD,1871,4,8,6,88,3,4.9
Camacho,LIV,MID,0,0,0,0,0,0,4.5
Cameron,STK,DEF,1522,0,0,2,33,0,4.3
Campbell,STK,FWD,75,0,0,0,4,0,4.5
Can,LIV,MID,2089,3,6,8,92,10,4.9
Capoue,WAT,MID,1537,1,1,4,48,0,4.8
Carrick,MUN,MID,108,0,0,1,4,0,4.2
Carrillo,SOU,FWD,449,0,1,1,15,0,5.9
Carrillo,WAT,MID,1529,1,3,4,64,4,5.4
Carroll,SWA,MID,2562,0,4,7,85,6,4.3
Carroll,WHU,FWD,742,3,1,3,36,6,5.7
Carter-Vickers,TOT,DEF,0,0,0,0,0,0,4.5
Cathcart,WAT,DEF,495,0,0,1,14,0,4.4
Cavalieri,CRY,GKP,0,0,0,0,0,0,4
Cazorla,ARS,MID,0,0,0,0,0,0,6.9
Cech,ARS,GKP,3039,0,0,11,124,7,5.3
Chadli,WBA,MID,213,1,0,1,15,3,5.6
Chalobah,CHE,DEF,0,0,0,0,0,0,4
Chalobah,WAT,MID,447,0,0,3,13,0,4.2
Chamberlain,LIV,MID,1718,3,7,5,94,5,5.5
Chambers,ARS,DEF,864,0,0,2,23,0,4.7
Chicharito,WHU,FWD,1537,8,2,6,93,14,6.7
Chilwell,LEI,DEF,1848,0,2,6,65,4,4.4
Choudhury,LEI,MID,375,0,1,0,13,0,4.4
Choupo-Moting,STK,MID,2241,5,5,5,107,9,5.2
Christensen,CHE,DEF,2067,0,0,8,79,4,5.3
Clark,NEW,DEF,1745,2,1,4,64,6,4.3
Clasie,SOU,MID,0,0,0,0,0,0,4.4
Cleverley,WAT,MID,1900,1,2,6,58,3,5
Clucas,SWA,MID,2039,3,1,5,75,4,4.7
Clyne,LIV,DEF,173,0,0,1,7,0,5.3
Colback,NEW,MID,0,0,0,0,0,0,4.2
Coleman,EVE,DEF,1035,0,1,4,39,0,6.4
Coleman,HUD,GKP,0,0,0,0,0,0,3.9
