player,team,position,minutes,goals,assits,cs,points,bonus,price
Robson,Sunderland,DEF,90,0,0,0,1,0,4
Rodriguez,Southampton,FWD,351,0,0,1,14,0,6.4
Rodr�guez,Everton,FWD,0,0,0,0,0,0,4.4
Rodwell,Sunderland,MID,1169,1,0,1,35,2,4.8
Rojo,Man Utd,DEF,1249,0,1,8,65,5,5
Romero,Man Utd,GKP,360,0,0,3,21,1,4.3
Rond�n,West Brom,FWD,2558,9,3,9,115,11,5.9
Rooney,Man Utd,FWD,2406,8,7,14,118,14,9.9
Rose,West Brom,GKP,0,0,0,0,0,0,3.9
Rose,Spurs,DEF,2129,1,7,8,109,12,5.1
Rosicky,Arsenal,MID,0,0,0,0,0,0,4.9
Rossiter,Liverpool,MID,15,0,0,0,1,0,4.4
Rothwell,Man Utd,MID,0,0,0,0,0,0,4.5
Routledge,Swansea,MID,1673,2,1,4,59,1,5.1
Rudd,Norwich,GKP,990,0,0,2,29,2,3.9
Ruddy,Norwich,GKP,2430,0,0,3,69,1,4.1
Ryan Bennett,Norwich,DEF,1837,0,1,4,43,2,3.9
Sagna,Man City,DEF,2448,0,3,12,116,17,5.5
Saivet,Newcastle,MID,147,0,0,0,4,0,4.4
Sakho,Liverpool,DEF,1854,1,0,5,65,7,4.6
Sakho,West Ham,FWD,1520,5,4,4,71,4,6.2
Sako,Crystal Palace,MID,1069,2,2,3,55,6,5
Samaras,West Brom,FWD,0,0,0,0,0,0,4.4
Samuelsen,West Ham,MID,0,0,0,0,0,0,4.4
Sandro,West Brom,MID,382,0,0,1,16,0,4.3
Sanogo,Arsenal,FWD,0,0,0,0,0,0,5
Schlupp,Leicester,DEF,1387,1,4,2,52,2,4.7
Schmeichel,Leicester,GKP,3420,0,0,15,147,5,5
Schneiderlin,Man Utd,MID,2205,1,0,14,69,1,5
Schwarzer,Leicester,GKP,0,0,0,0,0,0,3.7
Schweinsteiger,Man Utd,MID,1202,1,1,6,43,2,6.6
Seager,Southampton,FWD,0,0,0,0,0,0,4.5
Senderos,Aston Villa,DEF,0,0,0,0,0,0,4
Sergi Canos,Liverpool,MID,10,0,0,0,1,0,4.5
Sessegnon,West Brom,MID,1753,2,2,7,70,4,5.1
Shaqiri,Stoke,MID,2013,3,6,9,97,8,6.2
Shaw,Man Utd,DEF,450,0,1,3,27,4,5.3
Shawcross,Stoke,DEF,1695,0,0,7,50,1,4.8
Shelvey,Newcastle,MID,2266,1,6,3,78,5,5.3
Shenton,Stoke,MID,0,0,0,0,0,0,4.5
Sheyi Ojo,Liverpool,MID,397,0,4,1,27,2,5
Sidwell,Stoke,MID,13,0,0,0,1,0,4.2
Sigurdsson,Swansea,MID,2914,11,4,8,158,21,7.1
Silva,Man City,MID,1791,1,11,11,96,3,9.8
Simpson,Leicester,DEF,2609,0,1,15,120,10,4.2
Sinclair,Aston Villa,MID,1595,2,0,3,56,2,4.1
Sinclair,Liverpool,FWD,0,0,0,0,0,0,4.4
Sissoko,Newcastle,MID,3218,1,8,7,110,4,5.6
Skrtel,Liverpool,DEF,1885,1,0,6,63,7,5.3
Smalling,Man Utd,DEF,3150,0,1,17,135,13,6.6
Smith,Bournemouth,DEF,2100,2,0,6,84,11,4
Smith,Liverpool,DEF,285,0,0,0,2,0,4
Smith,Watford,MID,0,0,0,0,0,0,4.5
Solanke,Chelsea,FWD,0,0,0,0,0,0,5
Soldado,Spurs,FWD,0,0,0,0,0,0,5.9
Son,Spurs,FWD,1107,4,1,6,70,11,7.5
Song,West Ham,MID,658,0,0,4,23,1,4.8
Souar�,Crystal Palace,DEF,3015,0,1,7,78,4,4.2
Speroni,Crystal Palace,GKP,180,0,0,0,5,1,4.2
Spiegel,West Ham,GKP,0,0,0,0,0,0,3.9
Stambouli,Spurs,MID,0,0,0,0,0,0,4.5
Stanek,Everton,GKP,0,0,0,0,0,0,4
Stanislas,Bournemouth,MID,1436,3,2,5,65,5,4
Stekelenburg,Southampton,GKP,1530,0,0,6,57,0,4.9
Sterling,Man City,MID,1920,6,3,7,96,3,8.5
Sterry,Newcastle,DEF,7,0,0,0,1,0,4
Steven Taylor,Newcastle,DEF,810,0,0,2,20,2,3.8
Stewart,Liverpool,DEF,565,0,0,1,17,3,4.5
Stones,Everton,DEF,2779,0,0,8,82,4,5.4
Sturridge,Liverpool,FWD,979,8,2,1,70,7,10
Surman,Bournemouth,MID,3420,0,3,7,90,2,4.3
Su�rez,Watford,MID,749,0,0,0,19,0,4.2
Szczesny,Arsenal,GKP,0,0,0,0,0,0,5
S�nchez,Arsenal,MID,2436,13,5,14,167,17,11.2
S�nchez,Aston Villa,MID,1368,0,0,3,34,0,4.3
Tabanou,Swansea,DEF,0,0,0,0,0,0,4.4
Tadic,Southampton,MID,2280,8,13,8,157,13,6.8
Targett,Southampton,DEF,1067,0,2,7,61,6,3.7
Taylor,Swansea,DEF,2947,0,2,8,89,4,4.6
Teixeira,Stoke,DEF,45,0,0,0,1,0,4.4
Teixeira,Liverpool,MID,4,0,0,0,1,0,4.5
Terry,Chelsea,DEF,1987,1,0,6,57,6,6.6
Tettey,Norwich,MID,1949,2,0,3,53,6,4.1
Thauvin,Newcastle,MID,427,0,0,0,15,0,5.6
Tiendalli,Swansea,DEF,0,0,0,0,0,0,4
Tiot�,Newcastle,MID,1220,0,0,6,34,0,4.4
Toivonen,Sunderland,MID,660,0,2,1,24,0,6.1
Tomkins,West Ham,DEF,1961,0,0,8,70,3,4.8
Tomlin,Bournemouth,FWD,290,0,0,1,8,0,4.7
Tomori,Chelsea,DEF,31,0,0,0,1,0,4
Toner,Aston Villa,DEF,315,0,1,1,10,0,4
Toney,Newcastle,FWD,12,0,0,0,2,0,4.2
Tour�,Liverpool,DEF,858,1,0,3,38,2,4.4
Townsend,Newcastle,MID,1154,4,2,4,64,6,5.8
Traore,Chelsea,MID,375,2,1,2,28,1,5.4
Traor�,Aston Villa,MID,193,0,2,0,15,0,5.2
Tremmel,Swansea,GKP,0,0,0,0,0,0,4
Trippier,Spurs,DEF,459,1,1,1,26,3,4.9
Tuanzebe,Man Utd,DEF,0,0,0,0,0,0,4
Turner,Norwich,DEF,0,0,0,0,0,0,3.9
T�zs�r,Watford,MID,0,0,0,0,0,0,5
Ulloa,Leicester,FWD,984,6,2,3,74,9,5.1
Unavailable,Leicester,DEF,0,0,0,0,0,0,5
Vald�s,Man Utd,GKP,0,0,0,0,0,0,4.7
Valencia,Man Utd,DEF,857,0,3,5,59,10,5.1
Valencia,West Ham,FWD,1009,4,2,2,56,6,5.4
van Aanholt,Sunderland,DEF,2970,6,4,6,127,11,4.8
van Dijk,Southampton,DEF,3060,3,0,10,130,16,5.6
Van Ginkel,Stoke,MID,755,0,0,0,23,0,5
van Persie,Man Utd,FWD,0,0,0,0,0,0,9.5
van Wolfswinkel,Norwich,FWD,0,0,0,0,0,0,4.7
Vardy,Leicester,FWD,3133,24,8,14,211,30,7.4
Varela,Man Utd,DEF,315,0,0,1,8,0,4.2
Veretout,Aston Villa,MID,1820,0,6,4,69,5,5.6
Vergini,Sunderland,DEF,0,0,0,0,0,0,4.5
Vertonghen,Spurs,DEF,2594,0,0,9,87,7,5.4
Vickers,Swansea,GKP,0,0,0,0,0,0,4
Vlaar,Aston Villa,DEF,0,0,0,0,0,0,4.5
Vorm,Spurs,GKP,90,0,0,0,2,0,4.1
Vydra,Watford,FWD,0,0,0,0,0,0,4.8
Walcott,Arsenal,MID,1373,5,3,8,85,0,8
Walker,Spurs,DEF,2941,1,3,12,121,8,5.1
Walker-Peters,Spurs,DEF,0,0,0,0,0,0,4
Walters,Stoke,MID,1728,5,2,7,87,6,5.6
Wanyama,Southampton,MID,2495,1,1,7,59,0,4.2
Ward,Liverpool,GKP,180,0,0,0,6,0,4
Ward,Crystal Palace,DEF,2691,2,1,6,93,10,4.3
Ward-Prowse,Southampton,MID,1545,2,4,7,80,9,5.5
Wasilewski,Leicester,DEF,303,0,0,0,3,0,3.9
Watmore,Sunderland,FWD,919,3,1,1,45,0,4.1
Watson,Watford,MID,2816,1,4,8,89,2,4.3
Weir,Man Utd,MID,1,0,0,0,1,0,4.5
Welbeck,Arsenal,FWD,575,4,3,3,48,7,6.9
Westwood,Aston Villa,MID,2717,2,2,5,83,6,4.2
Whelan,Stoke,MID,3166,0,1,9,82,3,4.3
Whittaker,Norwich,DEF,660,1,0,0,10,0,3.9
Wickham,Crystal Palace,FWD,1321,5,3,4,70,7,5.4
Wiggins,Bournemouth,DEF,0,0,0,0,0,0,4
Wijnaldum,Newcastle,MID,3163,11,6,8,170,17,6.7
Williams,Swansea,DEF,3240,2,1,9,123,24,4.8
Williams,Newcastle,DEF,0,0,0,0,0,0,4
Williams,Crystal Palace,MID,11,0,0,0,1,0,4.3
Williamson,Newcastle,DEF,0,0,0,0,0,0,4.2
Willian,Chelsea,MID,2740,5,10,8,135,12,6.9
Wilshere,Arsenal,MID,142,0,0,1,6,0,5.7
Wilson,Stoke,DEF,261,0,0,0,4,0,4.4
Wilson,Bournemouth,FWD,771,5,0,1,46,5,5.3
Wilson,Man Utd,FWD,9,0,0,0,1,0,4.5
Wimmer,Spurs,DEF,812,0,0,4,33,1,4.6
Winks,Spurs,MID,0,0,0,0,0,0,4.5
Wisdom,Norwich,DEF,824,0,0,1,19,2,4.2
Wollscheid,Stoke,DEF,2684,0,0,10,92,10,4.3
Woodman,Newcastle,GKP,0,0,0,0,0,0,4
Wright,Man City,GKP,0,0,0,0,0,0,4.5
Yacob,West Brom,MID,2846,0,1,10,69,0,4.4
Yaya Tour�,Man City,MID,2326,7,4,13,129,16,8.5
Yedlin,Sunderland,DEF,1811,0,3,6,68,2,4.4
Yoshida,Southampton,DEF,1020,1,0,4,52,6,4
Young,Man Utd,MID,1065,1,3,3,40,0,5.6
Zabaleta,Man City,DEF,1062,0,1,4,41,5,5.7
Zaha,Crystal Palace,MID,2488,2,5,6,85,0,5.2
Zelalem,Arsenal,MID,0,0,0,0,0,0,4.8
Zouma,Chelsea,DEF,1918,1,1,8,81,7,5.1
Z�rate,West Ham,FWD,788,3,0,3,41,8,5.3
�zil,Arsenal,MID,3036,6,19,17,200,30,9.2
