player,team,position,minutes,goals,assits,cs,points,bonus,price
Chico,Swansea,DEF,0,0,0,0,0,0,5
Aaron Cresswell,West Ham,DEF,3420,2,4,9,129,13,5.6
Aaron Lennon,Everton,MID,1347,2,3,6,62,4,6.2
Aaron Mitchell,QPR,MID,0,0,0,0,0,0,4.5
Aaron Ramsey,Arsenal,MID,2007,6,6,10,116,13,8.8
Abel Hern�ndez,Hull,FWD,1313,4,1,4,56,1,6.3
Adam Armstrong,Newcastle,FWD,211,0,1,0,14,0,4.3
Adam Campbell,Newcastle,FWD,0,0,0,0,0,0,4.4
Adam Johnson,Sunderland,MID,2079,4,3,11,98,5,5.9
Adam King,Swansea,MID,0,0,0,0,0,0,4.3
Adam Lallana,Liverpool,MID,1779,5,3,9,93,7,8.3
Adam Smith,Leicester,GKP,0,0,0,0,0,0,4
Adel Taarabt,QPR,MID,297,0,0,1,11,0,5.3
Adil Nabi,West Brom,FWD,0,0,0,0,0,0,4.5
Adl�ne Gu�dioura,Crystal Palace,MID,127,0,0,0,6,0,4.4
Adnan Januzaj,Man Utd,MID,856,0,1,2,31,0,6.1
Adrian Mariappa,Crystal Palace,DEF,843,0,0,3,25,0,4.2
Adri�n San Miguel del Castillo,West Ham,GKP,3390,0,0,9,142,6,5.2
Ahmed Elmohamady,Hull,MID,3420,2,5,10,114,7,5
Aiden McGeady,Everton,MID,884,1,3,4,44,0,5.3
Ainsley Maitland-Niles,Arsenal,MID,1,0,0,0,1,0,4.4
Alan Hutton,Aston Villa,DEF,2420,1,0,6,70,5,4.3
Alan Tate,Swansea,DEF,0,0,0,0,0,0,3.9
Alberto Moreno,Liverpool,DEF,2254,2,0,10,94,7,5.1
Alejandro Faurlin,QPR,MID,91,0,0,0,3,0,4.2
Alejandro Pozuelo Melero,Swansea,MID,0,0,0,0,0,0,4.5
Aleksandar Kolarov,Man City,DEF,1489,2,3,9,92,6,5.8
Aleksandar Tonev,Aston Villa,MID,0,0,0,0,0,0,4.5
Alex Bruce,Hull,DEF,1449,0,1,4,49,0,4
